Book Name,Author,ISBN 13,ISBN,Number of Pages,Average Rating,Total Number of Ratings,Publication Date,Date Started,Date Completed,Name,Series,Volume,Goodreads Url,Description,Genre,Image Url,Low Links,High Links,Publishers
"The Stone Sky (The Broken Earth, #3)",N.K. Jemisin,,,416,4.36,104412,2017-08-15,2021-07-12,2021-07-29,The Stone Sky,The Broken Earth,3,https://www.goodreads.com/book/show/31817749,"This is the way the world ends... for the last time.
The Moon will soon return. Whether this heralds the destruction of humankind or something worse will depend on two women.
Essun has inherited the power of Alabaster Tenring. With it, she hopes to find her daughter Nassun and forge a world in which every orogene child can grow up safe.
For Nassun, her mother's mastery of the Obelisk Gate comes too late. She has seen the evil of the world, and accepted what her mother will not admit: that sometimes what is corrupt cannot be cleansed, only destroyed.
The remarkable conclusion to the post-apocalyptic and highly acclaimed trilogy that began with the multi-award-nominated The Fifth Season.","['Fantasy', 'Fiction', 'Science Fiction', 'Science Fiction', 'Dystopia', 'Science Fiction Fantasy']",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1478547421l/31817749._SY475_.jpg,"{'1x': ['https://m.media-amazon.com/images/I/91yBQPI9ttL._AC_UY218_.jpg', 'https://m.media-amazon.com/images/I/91yBQPI9ttL._AC_UY654_FMwebp_QL65_.jpg', 'https://m.media-amazon.com/images/I/A1nzfDxiMKL._AC_UY545_FMwebp_QL65_.jpg'], '1.5x': ['https://m.media-amazon.com/images/I/91yBQPI9ttL._AC_UY327_FMwebp_QL65_.jpg', 'https://m.media-amazon.com/images/I/A1nzfDxiMKL._AC_UY218_.jpg', 'https://m.media-amazon.com/images/I/A1nzfDxiMKL._AC_UY654_FMwebp_QL65_.jpg'], '2x': ['https://m.media-amazon.com/images/I/91yBQPI9ttL._AC_UY436_FMwebp_QL65_.jpg', 'https://m.media-amazon.com/images/I/A1nzfDxiMKL._AC_UY327_FMwebp_QL65_.jpg', 'https://m.media-amazon.com/images/I/719G2o4f6uL._AC_UY218_.jpg'], '2.5x': ['https://m.media-amazon.com/images/I/91yBQPI9ttL._AC_UY545_FMwebp_QL65_.jpg', 'https://m.media-amazon.com/images/I/A1nzfDxiMKL._AC_UY436_FMwebp_QL65_.jpg', 'https://m.media-amazon.com/images/I/719G2o4f6uL._AC_UY327_FMwebp_QL65_.jpg'], '3x': [], '3.5x': [], '4x': []}","['https://images-na.ssl-images-amazon.com/images/I/91yBQPI9ttL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/91qG4nKiyaL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/A1nzfDxiMKL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/719G2o4f6uL.jpg']",Orbit
"Mostly Harmless (Hitchhiker's Guide to the Galaxy, #5)",Douglas Adams,9780345379337.0,0345379330,288,3.96,121059,1992-10-12,,,Mostly Harmless,Hitchhiker's Guide to the Galaxy,5,https://www.goodreads.com/book/show/569429,"It’s easy to get disheartened when your planet has been blown up, the woman you love has vanished due to a misunderstanding about space/time, the spaceship you are on crashes on a remote and Bob-fearing planet, and all you have to fall back on are a few simple sandwich-making skills. However, instead of being disheartened, Arthur Dent makes the terrible mistake of starting to enjoy life a bit–and immediately all hell breaks loose.
Hell takes a number of forms: there’s the standard Ford Prefect version, in the shape of an all-new edition of The Hitchhiker’s Guide to the Galaxy, and a totally unexpected manifestation in the form of a teenage girl who startles Arthur Dent by being his daughter when he didn’t even know he had one.
Can Arthur save the Earth from total multidimensional obliteration? Can he save the Guide from a hostile alien takeover? Can he save his daughter, Random, from herself? Of course not. He never works out exactly what is going on. Will you?","['Science Fiction', 'Fiction', 'Humor', 'Fantasy', 'Humor', 'Comedy']",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1397933521l/569429.jpg,"{'1x': ['https://m.media-amazon.com/images/I/41slQ6i90+L._AC_UY218_.jpg', 'https://m.media-amazon.com/images/I/41slQ6i90+L._AC_UY500_FMwebp_QL65_.jpg'], '1.5x': ['https://m.media-amazon.com/images/I/41slQ6i90+L._AC_UY327_FMwebp_QL65_.jpg', 'https://m.media-amazon.com/images/I/41O75FBICTL._AC_UY218_.jpg'], '2x': ['https://m.media-amazon.com/images/I/41slQ6i90+L._AC_UY436_FMwebp_QL65_.jpg', 'https://m.media-amazon.com/images/I/41O75FBICTL._AC_UY327_FMwebp_QL65_.jpg'], '2.5x': [], '3x': [], '3.5x': [], '4x': []}","['https://images-na.ssl-images-amazon.com/images/I/41slQ6i90+L.jpg', 'https://images-na.ssl-images-amazon.com/images/I/41O75FBICTL.jpg']",Del Rey
"So Long, and Thanks for All the Fish (The Hitchhiker's Guide to the Galaxy, #4)",Douglas Adams,,,225,4.09,158716,1984-10-12,,,"So Long, and Thanks for All the Fish",The Hitchhiker's Guide to the Galaxy,4,https://www.goodreads.com/book/show/6091075,"Back on Earth with nothing more to show for his long, strange trip through time and space than a ratty towel and a plastic shopping bag, Arthur Dent is ready to believe that the past eight years were all just a figment of his stressed-out imagination. But a gift-wrapped fishbowl with a cryptic inscription, the mysterious disappearance of Earth's dolphins, and the discovery of his battered copy of The Hitchhiker's Guide to the Galaxy all conspire to give Arthur the sneaking suspicion that something otherworldly is indeed going on. . . .
God only knows what it all means. And fortunately, He left behind a Final Message of explanation. But since it's light-years away from Earth, on a star surrounded by souvenir booths, finding out what it is will mean hitching a ride to the far reaches of space aboard a UFO with a giant robot. But what else is new?","['Science Fiction', 'Fiction', 'Humor', 'Fantasy', 'Humor', 'Comedy']",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1327873354l/6091075.jpg,"{'1x': [], '1.5x': [], '2x': [], '2.5x': [], '3x': [], '3.5x': [], '4x': []}",[],Del Rey
"Life, the Universe and Everything (Hitchhiker's Guide to the Galaxy, #3)",Douglas Adams,9780345418906.0,0345418905,224,4.18,215086,1982-12-29,,,"Life, the Universe and Everything",Hitchhiker's Guide to the Galaxy,3,https://www.goodreads.com/book/show/8694,"The unhappy inhabitants of planet Krikkit are sick of looking at the night sky above their heads–so they plan to destroy it. The universe, that is. Now only five individuals stand between the killer robots of Krikkit and their goal of total annihilation.
They are Arthur Dent, a mild-mannered space and time traveler who tries to learn how to fly by throwing himself at the ground and missing; Ford Prefect, his best friend, who decides to go insane to see if he likes it; Slartibartfast, the indomitable vice president of the Campaign for Real Time, who travels in a ship powered by irrational behavior; Zaphod Beeblebrox, the two-headed, three-armed ex-president of the galazy; and Trillian, the sexy space cadet who is torn between a persistent Thunder God and a very depressed Beeblebrox.
How will it all end? Will it end? Only this stalwart crew knows as they try to avert “universal” Armageddon and save life as we know it–and don’t know it!","['Science Fiction', 'Fiction', 'Humor', 'Fantasy', 'Humor', 'Comedy']",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1333577589l/8694.jpg,,,Del Rey (first published December 29th 1982)
"The Restaurant at the End of the Universe (Hitchhiker's Guide to the Galaxy, #2)",Douglas Adams,,,250,4.21,259301,1980-10-12,2021-06-08,2021-06-21,The Restaurant at the End of the Universe,Hitchhiker's Guide to the Galaxy,2,https://www.goodreads.com/book/show/8695,"Facing annihilation at the hands of the warlike Vogons is a curious time to have a cosmically displaced Arthur Dent and his curious comrades in arms as they hurtle through space powered by pure improbability - and desperately in search of a place to eat. Among Arthur's motley shipmates are Ford Prefect, a long-time friend and contributor to the The Hitch Hiker's Guide to t
...more","['Science Fiction', 'Fiction', 'Humor', 'Fantasy', 'Humor', 'Comedy']",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1521139588l/39290775._SX318_.jpg,"{'1x': ['https://m.media-amazon.com/images/I/71LRPTEbMoL._AC_UY218_.jpg', 'https://m.media-amazon.com/images/I/71LRPTEbMoL._AC_UY654_FMwebp_QL65_.jpg', 'https://m.media-amazon.com/images/I/715pS-RQUPL._AC_UY545_FMwebp_QL65_.jpg'], '1.5x': ['https://m.media-amazon.com/images/I/71LRPTEbMoL._AC_UY327_FMwebp_QL65_.jpg', 'https://m.media-amazon.com/images/I/715pS-RQUPL._AC_UY218_.jpg', 'https://m.media-amazon.com/images/I/715pS-RQUPL._AC_UY654_FMwebp_QL65_.jpg'], '2x': ['https://m.media-amazon.com/images/I/71LRPTEbMoL._AC_UY436_FMwebp_QL65_.jpg', 'https://m.media-amazon.com/images/I/715pS-RQUPL._AC_UY327_FMwebp_QL65_.jpg', 'https://m.media-amazon.com/images/I/815LFOExEaL._AC_UY218_.jpg'], '2.5x': ['https://m.media-amazon.com/images/I/71LRPTEbMoL._AC_UY545_FMwebp_QL65_.jpg', 'https://m.media-amazon.com/images/I/715pS-RQUPL._AC_UY436_FMwebp_QL65_.jpg', 'https://m.media-amazon.com/images/I/815LFOExEaL._AC_UY327_FMwebp_QL65_.jpg'], '3x': [], '3.5x': [], '4x': []}","['https://images-na.ssl-images-amazon.com/images/I/71LRPTEbMoL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/71wA-ORjCSL.jpg']",Del Rey
"The Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy, #1)",Douglas Adams,,,193,4.22,1647794,1979-10-12,2021-05-29,2021-06-08,The Hitchhiker's Guide to the Galaxy,Hitchhiker's Guide to the Galaxy,1,https://www.goodreads.com/book/show/386162,"Seconds before the Earth is demolished to make way for a galactic freeway, Arthur Dent is plucked off the planet by his friend Ford Prefect, a researcher for the revised edition of the The Hitch Hiker's Guide to the Galaxy who, for the last fifteen years, has been posing as an out of work actor.
Together this dynamic pair begin their journey through space aided by quotes from The Hitch Hiker's Guide ""A towel is about the most massively useful thing an interstellar hitchhiker can have"" and a galaxy-full of fellow travellers: Zaphod Beeblebrox - the two-headed, three-armed ex-hippie and totally out to lunch president of the galaxy; Trillian, Zaphod's girlfriend (formally Tricia McMillan), whom Arthur tried to pick up at a cocktail party once upon a time zone; Marvin, a paranoid, brilliant and chronically depressed robot; Veet Voojagig, a former graduate student who is obsessed with the disappearance of all the ball-point pens he has bought over the years.","['Science Fiction', 'Fiction', 'Humor', 'Classics', 'Fantasy']",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1559986152l/386162.jpg,"{'1x': ['https://m.media-amazon.com/images/I/61GfrepwHUS._AC_UY218_.jpg'], '1.5x': ['https://m.media-amazon.com/images/I/61GfrepwHUS._AC_UY327_FMwebp_QL65_.jpg'], '2x': ['https://m.media-amazon.com/images/I/61GfrepwHUS._AC_UY436_FMwebp_QL65_.jpg'], '2.5x': ['https://m.media-amazon.com/images/I/61GfrepwHUS._AC_UY545_FMwebp_QL65_.jpg'], '3x': [], '3.5x': [], '4x': []}","['https://images-na.ssl-images-amazon.com/images/I/61GfrepwHUS.jpg', 'https://images-na.ssl-images-amazon.com/images/I/71ydY4i4SUS.jpg', 'https://images-na.ssl-images-amazon.com/images/I/31PtkTD9aML.jpg']",Del Rey
"A ​Sky Beyond the Storm (An Ember in the Ashes, #4)",Sabaa Tahir,9780008288815.0,000828881X,516,4.35,39587,2020-12-01,2021-05-28,2021-06-04,A ​Sky Beyond the Storm,An Ember in the Ashes,4,https://www.goodreads.com/book/show/31520883,"Prepare for the jaw-dropping finale of Sabaa Tahir's beloved New York Times bestselling An Ember in the Ashes fantasy series, and discover: Who will survive the storm?
Picking up just a few months after A Reaper at the Gates left off...
The long-imprisoned jinn are on the attack, wreaking bloody havoc in villages and cities alike. But for the Nightbringer, vengeance on his human foes is just the beginning.
At his side, Commandant Keris Veturia declares herself Empress, and calls for the heads of any and all who defy her rule. At the top of the list? The Blood Shrike and her remaining family.
Laia of Serra, now allied with the Blood Shrike, struggles to recover from the loss of the two people most important to her. Determined to stop the approaching apocalypse, she throws herself into the destruction of the Nightbringer. In the process, she awakens an ancient power that could lead her to victory--or to an unimaginable doom.
And deep in the Waiting Place, the Soul Catcher seeks only to forget the life--and love--he left behind. Yet doing so means ignoring the trail of murder left by the Nightbringer and his jinn. To uphold his oath and protect the human world from the supernatural, the Soul Catcher must look beyond the borders of his own land. He must take on a mission that could save--or destroy--all that he knows.","['Fantasy', 'Young Adult', 'Romance', 'Young Adult', 'Young Adult Fantasy', 'Fiction']",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1583169878l/31520883._SY475_.jpg,"{'1x': [], '1.5x': [], '2x': [], '2.5x': [], '3x': [], '3.5x': [], '4x': []}",[],Razorbill
"Cytonic (Skyward, #3)",Brandon Sanderson,9781473217935.0,1473217938,432,4.12,23957,2021-11-23,2021-11-22,2021-12-02,Cytonic,Skyward,3,https://www.goodreads.com/book/show/57571215,"Spensa’s life as a Defiant Defense Force pilot has been far from ordinary. She proved herself one of the best starfighters in the human enclave of Detritus and she saved her people from extermination at the hands of the Krell—the enigmatic alien species that has been holding them captive for decades. What’s more, she traveled light-years from home as an undercover spy to infiltrate the Superiority, where she learned of the galaxy beyond her small, desolate planet home.
Now, the Superiority—the governing galactic alliance bent on dominating all human life—has started a galaxy-wide war. And Spensa has seen the weapons they plan to use to end it: the Delvers. Ancient, mysterious alien forces that can wipe out entire planetary systems in an instant. Spensa knows that no matter how many pilots the DDF has, there is no defeating this predator.
Except that Spensa is Cytonic. She faced down a Delver and saw something eerily familiar about it. And maybe, if she’s able to figure out what she is, she could be more than just another pilot in this unfolding war. She could save the galaxy.
The only way she can discover what she really is, though, is to leave behind all she knows and enter the Nowhere. A place from which few ever return.
To have courage means facing fear. And this mission is terrifying.","['Science Fiction', 'Young Adult', 'Fantasy', 'Fiction', 'Audiobook']",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1622045953l/57571215.jpg,"{'1x': ['https://m.media-amazon.com/images/I/91YBSl++I6L._AC_UY218_.jpg', 'https://m.media-amazon.com/images/I/91YBSl++I6L._AC_UY654_FMwebp_QL65_.jpg', 'https://m.media-amazon.com/images/I/91opgr-uN6L._AC_UY545_FMwebp_QL65_.jpg'], '1.5x': ['https://m.media-amazon.com/images/I/91YBSl++I6L._AC_UY327_FMwebp_QL65_.jpg', 'https://m.media-amazon.com/images/I/91opgr-uN6L._AC_UY218_.jpg', 'https://m.media-amazon.com/images/I/91opgr-uN6L._AC_UY654_FMwebp_QL65_.jpg'], '2x': ['https://m.media-amazon.com/images/I/91YBSl++I6L._AC_UY436_FMwebp_QL65_.jpg', 'https://m.media-amazon.com/images/I/91opgr-uN6L._AC_UY327_FMwebp_QL65_.jpg', 'https://m.media-amazon.com/images/I/51n8f8KKtML._AC_UY218_.jpg'], '2.5x': ['https://m.media-amazon.com/images/I/91YBSl++I6L._AC_UY545_FMwebp_QL65_.jpg', 'https://m.media-amazon.com/images/I/91opgr-uN6L._AC_UY436_FMwebp_QL65_.jpg'], '3x': [], '3.5x': [], '4x': []}","['https://images-na.ssl-images-amazon.com/images/I/91YBSl++I6L.jpg', 'https://images-na.ssl-images-amazon.com/images/I/91opgr-uN6L.jpg', 'https://images-na.ssl-images-amazon.com/images/I/51n8f8KKtML.jpg']",Delacorte Press
"ReDawn (Skyward, #2.2)",Brandon Sanderson,9780593566626.0,,229,4.24,9565,2021-10-26,2021-10-29,2021-11-05,ReDawn,Skyward,2,https://www.goodreads.com/book/show/57903879,"From #1 bestselling author Brandon Sanderson and Janci Patterson comes the second of three Skyward series novellas, each told from the perspective of a different member of the team back on Detritus. Read Alanik’s story between Starsight and Cytonic.
“Don’t trust their lies. Don’t trust their false peace.” That is the warning that Alanik of the planet ReDawn gave the human pilot Spensa after Alanik’s ship crash-landed on Detritus. While accepting an invitation to meet with her people’s enemy, the Galactic Superiority, Alanik heard Spensa’s cry for help across the vastness of space, and she used her cytonic powers to hyperjump her ship to the source of that cry. What she found there was a shock—a whole planet of free humans fighting against the Superiority. Were they the allies her people desperately needed?
When she recovered from her injuries and met the friendly humans Jorgen and FM of Skyward Flight, she found that her warning to Spensa had gone unheeded by the government of Detritus, and they were considering a peace overture from the Superiority. Now having returned to ReDawn, Alanik is dismayed to learn that her own people are falling into the exact same trap.
The faction in ReDawn’s government that wants to appease the Superiority has gained the upper hand. With Alanik’s mentor, Renakin captured, she has no one to turn to but Jorgen, FM, and their friend Rig. An ancient technology may have the power to save both of their planets from disaster, but can they discover its secrets before it’s too late?","['Science Fiction', 'Young Adult', 'Fantasy', 'Fiction', 'Novella']",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1633436358l/57903879._SX318_.jpg,"{'1x': ['https://m.media-amazon.com/images/I/91-VH1VIU6L._AC_UY218_.jpg', 'https://m.media-amazon.com/images/I/91-VH1VIU6L._AC_UY654_FMwebp_QL65_.jpg'], '1.5x': ['https://m.media-amazon.com/images/I/91-VH1VIU6L._AC_UY327_FMwebp_QL65_.jpg', 'https://m.media-amazon.com/images/I/81s47Ovt3JL._AC_UY218_.jpg'], '2x': ['https://m.media-amazon.com/images/I/91-VH1VIU6L._AC_UY436_FMwebp_QL65_.jpg', 'https://m.media-amazon.com/images/I/81s47Ovt3JL._AC_UY327_FMwebp_QL65_.jpg'], '2.5x': ['https://m.media-amazon.com/images/I/91-VH1VIU6L._AC_UY545_FMwebp_QL65_.jpg', 'https://m.media-amazon.com/images/I/81s47Ovt3JL._AC_UY436_FMwebp_QL65_.jpg'], '3x': [], '3.5x': [], '4x': []}",['https://images-na.ssl-images-amazon.com/images/I/81s47Ovt3JL.jpg'],Delacorte Press
"Sunreach (Skyward, #2.1)",Brandon Sanderson,9780593566619.0,,208,4.19,11925,2021-09-28,2021-09-28,2021-09-29,Sunreach,Skyward,2,https://www.goodreads.com/book/show/57903876,"From #1 bestselling author Brandon Sanderson and Janci Patterson comes the first of three Skyward series novellas, each told from the perspective of a different member of the team back on Detritus. Read FM's story between Starsight and Cytonic.
When a planet-destroying Delver suddenly appears in the sky of Detritus and vanishes just as suddenly, FM knows that the last free human society got lucky. Her Skyward Flight companion, Spensa, figured out how to draw this Delver away, but it won’t be so easy next time.
The forces of the Galactic Superiority will be back—and if the Defiant Defense Force can’t figure out a way to escape the planet, humanity’s destruction is only a matter of time. Spensa’s mission to infiltrate the Superiority unveiled the secret to their hyperdrives—a cytonic slug species called the Taynix. Now FM’s flightleader, Jorgen, has found a large group of Taynix hiding in the caverns far below Detritus’s surface.
FM and Jorgen must work together with the engineer Rig to awaken the mysterious alien Alanik and unlock the powers of the Taynix, or humanity will be trapped. With Spensa’s friend Minister Cuna of the Superiority stranded at the outpost of Sunreach, they need to figure out how to rescue her—or the Superiority government will be in the sole clutches of those who want to wipe out Detritus once and for all.","['Science Fiction', 'Young Adult', 'Fantasy', 'Novella', 'Fiction']",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1632169745l/57903876._SX318_.jpg,"{'1x': ['https://m.media-amazon.com/images/I/91wQTP87nrL._AC_UY218_.jpg', 'https://m.media-amazon.com/images/I/91wQTP87nrL._AC_UY654_FMwebp_QL65_.jpg'], '1.5x': ['https://m.media-amazon.com/images/I/91wQTP87nrL._AC_UY327_FMwebp_QL65_.jpg', 'https://m.media-amazon.com/images/I/81s47Ovt3JL._AC_UY218_.jpg'], '2x': ['https://m.media-amazon.com/images/I/91wQTP87nrL._AC_UY436_FMwebp_QL65_.jpg', 'https://m.media-amazon.com/images/I/81s47Ovt3JL._AC_UY327_FMwebp_QL65_.jpg'], '2.5x': ['https://m.media-amazon.com/images/I/91wQTP87nrL._AC_UY545_FMwebp_QL65_.jpg', 'https://m.media-amazon.com/images/I/81s47Ovt3JL._AC_UY436_FMwebp_QL65_.jpg'], '3x': [], '3.5x': [], '4x': []}",['https://images-na.ssl-images-amazon.com/images/I/81s47Ovt3JL.jpg'],Delacorte Press
"Gardens of the Moon (The Malazan Book of the Fallen, #1)",Steven Erikson,,,772,3.9,103951,1999-04-01,,,Gardens of the Moon,The Malazan Book of the Fallen,1,https://www.goodreads.com/book/show/55399,"The Malazan Empire simmers with discontent, bled dry by interminable warfare, bitter infighting and bloody confrontations with the formidable Anomander Rake and his Tiste Andii, ancient and implacable sorcerers. Even the imperial legions, long inured to the bloodshed, yearn for some respite. Yet Empress Laseen's rule remains absolute, enforced by her dread Claw assassins.
For Sergeant Whiskeyjack and his squad of Bridgeburners, and for Tattersail, surviving cadre mage of the Second Legion, the aftermath of the siege of Pale should have been a time to mourn the many dead. But Darujhistan, last of the Free Cities of Genabackis, yet holds out. It is to this ancient citadel that Laseen turns her predatory gaze.
However, it would appear that the Empire is not alone in this great game. Sinister, shadowbound forces are gathering as the gods themselves prepare to play their hand...
Conceived and written on a panoramic scale, Gardens of the Moon is epic fantasy of the highest order--an enthralling adventure by an outstanding new voice.

At the Publisher's request, this title is being sold without Digital Rights Management Software (DRM) applied.","['Fantasy', 'Fiction', 'Fantasy', 'Epic Fantasy', 'Fantasy', 'High Fantasy']",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1548497031l/55399._SY475_.jpg,"{'1x': ['https://m.media-amazon.com/images/I/71zaKxkblSL._AC_UY218_.jpg', 'https://m.media-amazon.com/images/I/71zaKxkblSL._AC_UY654_FMwebp_QL65_.jpg', 'https://m.media-amazon.com/images/I/51Ghg2ND2jL._AC_UY436_FMwebp_QL65_.jpg'], '1.5x': ['https://m.media-amazon.com/images/I/71zaKxkblSL._AC_UY327_FMwebp_QL65_.jpg', 'https://m.media-amazon.com/images/I/51Ghg2ND2jL._AC_UY218_.jpg', 'https://m.media-amazon.com/images/I/51Ghg2ND2jL._AC_UY500_FMwebp_QL65_.jpg'], '2x': ['https://m.media-amazon.com/images/I/71zaKxkblSL._AC_UY436_FMwebp_QL65_.jpg', 'https://m.media-amazon.com/images/I/51Ghg2ND2jL._AC_UY327_FMwebp_QL65_.jpg', 'https://m.media-amazon.com/images/I/81BB9GFyamL._AC_UY218_.jpg'], '2.5x': ['https://m.media-amazon.com/images/I/71zaKxkblSL._AC_UY545_FMwebp_QL65_.jpg', 'https://m.media-amazon.com/images/I/81BB9GFyamL._AC_UY327_FMwebp_QL65_.jpg'], '3x': [], '3.5x': [], '4x': []}","['https://images-na.ssl-images-amazon.com/images/I/71zaKxkblSL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/51Ghg2ND2jL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/81BB9GFyamL.jpg']",
"A Reaper at the Gates (An Ember in the Ashes, #3)",Sabaa Tahir,9780448494500.0,0448494507,458,4.2,71087,2018-06-12,2021-05-20,2021-05-28,A Reaper at the Gates,An Ember in the Ashes,3,https://www.goodreads.com/book/show/30809786,"Beyond the Martial Empire and within it, the threat of war looms ever larger.
Helene Aquilla, the Blood Shrike, is desperate to protect her sister's life and the lives of everyone in the Empire. Yet danger lurks on all sides. Emperor Marcus, haunted by his past, grows increasingly unstable and violent, while Keris Veturia, the ruthless Commandant, capitalizes on the Emperor's volatility to grow her own power—regardless of the carnage she leaves in her path.
Far to the east, Laia of Serra knows that the fate of the world lies not in the machinations of the Martial court, but in stopping the Nightbringer. During the hunt to bring him down, Laia faces unexpected threats from those she hoped would help her, and is drawn into a battle she never thought she'd have to fight.
And in the land between the living and the dead, Elias Veturius has given up his freedom to serve as Soul Catcher. However, in doing so, he has vowed himself to an ancient power that demands his complete surrender—even if that means abandoning the woman he loves.","['Fantasy', 'Young Adult', 'Young Adult', 'Young Adult Fantasy', 'Romance', 'Fiction']",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1507476834l/30809786._SY475_.jpg,"{'1x': ['https://m.media-amazon.com/images/I/91vFU0KCm9L._AC_UY218_.jpg', 'https://m.media-amazon.com/images/I/91vFU0KCm9L._AC_UY654_FMwebp_QL65_.jpg'], '1.5x': ['https://m.media-amazon.com/images/I/91vFU0KCm9L._AC_UY327_FMwebp_QL65_.jpg', 'https://m.media-amazon.com/images/I/51yJZFWv-dL._AC_UY218_.jpg'], '2x': ['https://m.media-amazon.com/images/I/91vFU0KCm9L._AC_UY436_FMwebp_QL65_.jpg', 'https://m.media-amazon.com/images/I/51yJZFWv-dL._AC_UY327_FMwebp_QL65_.jpg'], '2.5x': ['https://m.media-amazon.com/images/I/91vFU0KCm9L._AC_UY545_FMwebp_QL65_.jpg'], '3x': [], '3.5x': [], '4x': []}","['https://images-na.ssl-images-amazon.com/images/I/91vFU0KCm9L.jpg', 'https://images-na.ssl-images-amazon.com/images/I/51yJZFWv-dL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/81LSxi2L7DL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/81qyZrBeMNL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/810uYhKNgSL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/81ah9zwXa-L.jpg']",
"An Ember in the Ashes (An Ember in the Ashes, #1)",Sabaa Tahir,,,446,4.26,249239,2015-04-28,2021-05-14,2021-05-17,An Ember in the Ashes,An Ember in the Ashes,1,https://www.goodreads.com/book/show/27774758,"This is an alternative cover edition for ISBN-13: 9781595148049.
Laia is a slave. Elias is a soldier. Neither is free.
Under the Martial Empire, defiance is met with death. Those who do not vow their blood and bodies to the Emperor risk the execution of their loved ones and the destruction of all they hold dear.
It is in this brutal world, inspired by ancient Rome, that Laia




...more","['Fantasy', 'Young Adult', 'Romance', 'Fiction', 'Young Adult', 'Young Adult Fantasy']",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1519425784l/36040400._SY475_.jpg,"{'1x': ['https://m.media-amazon.com/images/I/91NOJot-wQL._AC_UY218_.jpg'], '1.5x': ['https://m.media-amazon.com/images/I/91NOJot-wQL._AC_UY327_FMwebp_QL65_.jpg'], '2x': ['https://m.media-amazon.com/images/I/91NOJot-wQL._AC_UY436_FMwebp_QL65_.jpg'], '2.5x': ['https://m.media-amazon.com/images/I/91NOJot-wQL._AC_UY545_FMwebp_QL65_.jpg'], '3x': [], '3.5x': [], '4x': []}",['https://images-na.ssl-images-amazon.com/images/I/91NOJot-wQL.jpg'],Razorbill
