Book Name,Author,ISBN 13,ISBN,Number of Pages,Average Rating,Total Number of Ratings,Publication Date,Date Started,Date Completed
"The Wise Man's Fear (The Kingkiller Chronicle, #2)","Rothfuss, Patrick",9780756404734,0756404738,994,4.55,490920,"Mar 01, 2011","Jul 09, 2020","Jul 12, 2020"
"The Mark of Athena (The Heroes of Olympus, #3)","Riordan, Rick",9781423140603,1423140605,586,4.46,518248,"Oct 02, 2012",not set,not set
"The Hammer of Thor (Magnus Chase and the Gods of Asgard, #2)","Riordan, Rick",9781423160922,1423160924,459,4.34,90586,"Oct 04, 2016","Mar 14, 2020","Mar 20, 2020"
"The Sword of Summer (Magnus Chase and the Gods of Asgard, #1)","Riordan, Rick",9781423160915,1423160916,499,4.24,184236,"Oct 06, 2015","Mar 10, 2020","Mar 14, 2020"
"The Lost Hero (The Heroes of Olympus, #1)","Riordan, Rick",9781423113393,142311339X,553,4.32,735776,"Oct 12, 2010",not set,not set
A Christmas Carol,"Dickens, Charles",9781561797462,1561797464,104,4.07,716731,"Dec 17, 1843",not set,not set
Emma,"Austen, Jane",9780141439587,0141439580,474,4.03,767054,"Sep 23, 1815",not set,not set
Sense and Sensibility,"Austen, Jane",,,409,4.08,1074833,"Oct 30, 1811",not set,not set
Jane Eyre,"Brontë, Charlotte",9780142437209,0142437204,532,4.14,1862402,"Oct 16, 1847","Jan 04, 2020","Jan 25, 2020"
Jane Eyre,"Claybourne, Anna",9780794518707,0794518702,176,4.38,4617,"Jul 28, 2006",not set,not set
"The Name of the Wind (The Kingkiller Chronicle, #1)","Rothfuss, Patrick",9780756404079,075640407X,662,4.52,836328,"Mar 27, 2007","Jun 29, 2020","Jul 08, 2020"
"The Way of Kings (The Stormlight Archive, #1)","Sanderson, Brandon",9780765326355,0765326353,"1,007",4.64,384475,"Aug 31, 2010","May 25, 2020","Jun 09, 2020"
J.R.R. Tolkien 4-Book Boxed Set: The Hobbit and The Lord of the Rings,"Tolkien, J.R.R.",9780345538376,0345538374,"1,728",4.6,122871,"Oct 20, 1955",not set,not set
The Gunslinger,"King, Stephen",,,231,3.94,559196,"Jun 01, 1982",not set,not set
"The Eye of the World (The Wheel of Time, #1)","Jordan, Robert",9780812511819,0812511816,800,4.18,472034,"Jan 15, 1990","Jul 16, 2020","Jul 20, 2020"
"The Last Olympian (Percy Jackson and the Olympians, #5)","Riordan, Rick",9781423101475,1423101472,381,4.52,824134,"May 05, 2009",not set,not set
"The Titan's Curse (Percy Jackson and the Olympians, #3)","Riordan, Rick",9780141382890,0141382899,320,4.36,855442,"May 05, 2007","Oct 14, 2020","Oct 15, 2020"
The Hobbit,"Tolkien, J.R.R.",,,322,4.28,3394488,"Sep 21, 1937","Mar 20, 2021",not set
"A Clash of Kings  (A Song of Ice and Fire, #2)","Martin, George R.R.",9780553381696,0553381695,969,4.41,854763,"Nov 16, 1998","Dec 06, 2020","Dec 13, 2020"
"The Tyrant’s Tomb (The Trials of Apollo, #4)","Riordan, Rick",9781368001441,1368001440,439,4.35,48703,"Sep 24, 2019",May 2020,"May 09, 2020"
The Fault in Our Stars,"Green, John",,,313,4.16,4365773,"Jan 10, 2012",not set,not set
Gulliver's Travels: Travels into Several Remote Nations of the World.,"Swift, Jonathan",9780141439495,0141439491,306,3.58,254180,1726,not set,not set
Wuthering Heights by Emily Brontë,"Spear, Hilda D.",9780333372869,0333372867,96,4.14,26382,"Apr 04, 1985",not set,not set
Gone with the Wind,"Mitchell, Margaret",9780446675536,0446675539,"1,037",4.3,1151877,"Jun 30, 1936",not set,not set
Northanger Abbey,"Austen, Jane",9781593082642,1593082649,260,3.84,349425,Dec 1817,not set,not set
Mansfield Park,"Austen, Jane",9780141439808,0141439807,488,3.86,317304,"Jul 01, 1814",not set,not set
Persuasion,"Austen, Jane",9780192802637,0192802631,249,4.14,598043,1817,not set,not set
A Thousand Splendid Suns,"Hosseini, Khaled",9781594489501,1594489505,372,4.4,1337589,"May 22, 2007",not set,not set
The Kite Runner,"Hosseini, Khaled",,,371,4.32,2783661,"May 29, 2003",not set,not set
Frankenstein: The 1818 Text,"Shelley, Mary",,,260,3.84,1356471,"Jan 01, 1818",not set,not set
The Alchemist,"Coelho, Paulo",9780062315007,0062315005,175,3.9,2560601,1988,not set,not set
Great Expectations,"Dickens, Charles",9780192833594,0192833596,544,3.79,729069,"Jan 01, 1860",not set,not set
"Foundation (Foundation, #1)","Asimov, Isaac",9780553803716,0553803719,244,4.17,478563,"Aug 30, 1951",not set,Dec 2018
Animal Farm,"Orwell, George",9780451526342,0451526341,141,3.97,3294794,"Aug 17, 1945",not set,not set
Little Women,"Alcott, Louisa May",,,449,4.12,1951814,1868,not set,not set
"A Storm of Swords (A Song of Ice and Fire, #3)","Martin, George R.R.",,,"1,218",4.54,717387,"Aug 08, 2000","Dec 13, 2020","Jan 29, 2021"
"City of Bones (The Mortal Instruments, #1)","Clare, Cassandra",,,485,4.08,1833506,"May 27, 2007","Oct 03, 2020","Oct 04, 2020"
"New Moon (The Twilight Saga, #2)","Meyer, Stephenie",,,563,3.57,1700735,"Sep 06, 2006",not set,not set
"The Lightning Thief (Percy Jackson and the Olympians, #1)","Riordan, Rick",,,377,4.28,2469039,"Jun 28, 2005","Oct 09, 2020","Oct 13, 2020"
"Twilight (The Twilight Saga, #1)","Meyer, Stephenie",9780316015844,0316015849,498,3.63,5777321,"Oct 05, 2005",not set,not set
"Harry Potter and the Goblet of Fire (Harry Potter, #4)","Rowling, J.K.",,,734,4.57,3087187,"Jul 08, 2000",not set,not set
"Harry Potter and the Half-Blood Prince (Harry Potter, #6)","Rowling, J.K.",,,652,4.57,2859663,"Jul 16, 2005",not set,not set
"Harry Potter and the Deathly Hallows (Harry Potter, #7)","Rowling, J.K.",,,759,4.62,3266973,"Jul 21, 2007",not set,not set
"Mockingjay (The Hunger Games, #3)","Collins, Suzanne",9780439023511,0439023513,398,4.06,2747278,"Aug 24, 2010","May 25, 2020","Jun 14, 2020"
"Catching Fire (The Hunger Games, #2)","Collins, Suzanne",9780439023498,0439023491,391,4.3,2994402,"Sep 01, 2009","May 15, 2020","May 23, 2020"
"The Hunger Games (The Hunger Games, #1)","Collins, Suzanne",9780439023481,0439023483,374,4.32,7429105,"Sep 14, 2008","May 05, 2020","May 11, 2020"
"Harry Potter and the Order of the Phoenix (Harry Potter, #5)","Rowling, J.K.",,,870,4.5,2953096,"Jun 21, 2003",not set,not set
"Alice's Adventures in Wonderland (Alice's Adventures in Wonderland, #1)","Carroll, Lewis",,,96,3.99,327233,"Nov 26, 1865",not set,not set
"A Study in Scarlet (Sherlock Holmes, #1)","Doyle, Arthur Conan",9781420925531,1420925539,123,4.14,388272,"Nov 01, 1887",not set,not set
"The Battle of the Labyrinth (Percy Jackson and the Olympians, #4)","Riordan, Rick",,,361,4.41,899648,"Mar 06, 2008","Oct 13, 2020","Oct 14, 2020"
"Harry Potter and the Prisoner of Azkaban (Harry Potter, #3)","Rowling, J.K.",9780439655484,043965548X,435,4.58,3482360,"Jun 08, 1999",not set,not set
"Harry Potter and the Chamber of Secrets (Harry Potter, #2)","Rowling, J.K.",,,341,4.43,3313391,"Jul 02, 1998",not set,May 2018
"The Fellowship of the Ring (The Lord of the Rings, #1)","Tolkien, J.R.R.",9780618346257,0618346252,398,4.38,2582523,"Jul 29, 1954",not set,not set
"Harry Potter and the Sorcerer's Stone (Harry Potter, #1)","Rowling, J.K.",,,309,4.48,8581826,"Jun 26, 1997",not set,May 2018
Pride and Prejudice,"Austen, Jane",,,279,4.28,3634644,"Jan 28, 1813",not set,Jan 2019
